,name,label,description,link
9384,DEBT_HIPC_2022,HIPC_2022,HIPC_2022,https://www.bankofcanada.ca/valet/series/DEBT_HIPC_2022
9385,DEBT_OTHER_2022,OTHER_2022,OTHER_2022,https://www.bankofcanada.ca/valet/series/DEBT_OTHER_2022
9386,DEBT_EXAE_2022,EXAE_2022,EXAE_2022,https://www.bankofcanada.ca/valet/series/DEBT_EXAE_2022
9387,DEBT_SSA_2022,SSA_2022,SSA_2022,https://www.bankofcanada.ca/valet/series/DEBT_SSA_2022
9388,DEBT_DEFRATE_SOVEREIGNS_2022,DEFRATE_SOVEREIGNS_2022,DEFRATE_SOVEREIGNS_2022,https://www.bankofcanada.ca/valet/series/DEBT_DEFRATE_SOVEREIGNS_2022
9389,DEBT_DEFRATE_PARIS_CLUB_DEBT_2022,DEFRATE_PARIS_CLUB_DEBT_2022,DEFRATE_PARIS_CLUB_DEBT_2022,https://www.bankofcanada.ca/valet/series/DEBT_DEFRATE_PARIS_CLUB_DEBT_2022
9390,DEBT_DEFRATE_CHINA_2022,DEFRATE_CHINA_2022,DEFRATE_CHINA_2022,https://www.bankofcanada.ca/valet/series/DEBT_DEFRATE_CHINA_2022
9391,DEBT_DEFRATE_WORLD_PUBLIC_DEBT_2022,DEFRATE_WORLD_PUBLIC_DEBT_2022,DEFRATE_WORLD_PUBLIC_DEBT_2022,https://www.bankofcanada.ca/valet/series/DEBT_DEFRATE_WORLD_PUBLIC_DEBT_2022
9392,DEBT_DEFRATE_EME_OTHER_GDP_2022,DEFRATE_EME_OTHER_GDP_2022,DEFRATE_EME_OTHER_GDP_2022,https://www.bankofcanada.ca/valet/series/DEBT_DEFRATE_EME_OTHER_GDP_2022
9393,DEBT_DEFRATE_WORLD_GDP_2022,DEFRATE_WORLD_GDP_2022,DEFRATE_WORLD_GDP_2022,https://www.bankofcanada.ca/valet/series/DEBT_DEFRATE_WORLD_GDP_2022
9394,DEBT_TOTAL_NUMB_SOVEREIGNS_2022,TOTAL_NUMB_SOVEREIGNS_2022,TOTAL_NUMB_SOVEREIGNS_2022,https://www.bankofcanada.ca/valet/series/DEBT_TOTAL_NUMB_SOVEREIGNS_2022
9395,DEBT_TOTAL_DEF_SOVEREIGNS_2022,TOTAL_DEF_SOVEREIGNS_2022,TOTAL_DEF_SOVEREIGNS_2022,https://www.bankofcanada.ca/valet/series/DEBT_TOTAL_DEF_SOVEREIGNS_2022
9396,DEBT_IMF_DEF_SOVEREIGNS_2022,IMF_DEF_SOVEREIGNS_2022,IMF_DEF_SOVEREIGNS_2022,https://www.bankofcanada.ca/valet/series/DEBT_IMF_DEF_SOVEREIGNS_2022
9397,DEBT_IBRD_DEF_SOVEREIGNS_2022,IBRD_DEF_SOVEREIGNS_2022,IBRD_DEF_SOVEREIGNS_2022,https://www.bankofcanada.ca/valet/series/DEBT_IBRD_DEF_SOVEREIGNS_2022
9398,DEBT_IDA_DEF_SOVEREIGNS_2022,IDA_DEF_SOVEREIGNS_2022,IDA_DEF_SOVEREIGNS_2022,https://www.bankofcanada.ca/valet/series/DEBT_IDA_DEF_SOVEREIGNS_2022
9399,DEBT_PARIS_CLUB_DEF_SOVEREIGNS_2022,PARIS_CLUB_DEF_SOVEREIGNS_2022,PARIS_CLUB_DEF_SOVEREIGNS_2022,https://www.bankofcanada.ca/valet/series/DEBT_PARIS_CLUB_DEF_SOVEREIGNS_2022
9400,DEBT_CHINA_DEF_SOVEREIGNS_2022,CHINA_DEF_SOVEREIGNS_2022,CHINA_DEF_SOVEREIGNS_2022,https://www.bankofcanada.ca/valet/series/DEBT_CHINA_DEF_SOVEREIGNS_2022
9401,DEBT_OTHER_OFFICIAL_CREDITORS_DEF_SOVERE_2022,OTHER_OFFICIAL_CREDITORS_DEF_SOVERE_2022,OTHER_OFFICIAL_CREDITORS_DEF_SOVERE_2022,https://www.bankofcanada.ca/valet/series/DEBT_OTHER_OFFICIAL_CREDITORS_DEF_SOVERE_2022
9402,DEBT_FC_LOANS_DEF_SOVEREIGNS_2022,FC_LOANS_DEF_SOVEREIGNS_2022,FC_LOANS_DEF_SOVEREIGNS_2022,https://www.bankofcanada.ca/valet/series/DEBT_FC_LOANS_DEF_SOVEREIGNS_2022
9403,DEBT_FC_BONDS_DEF_SOVEREIGNS_2022,FC_BONDS_DEF_SOVEREIGNS_2022,FC_BONDS_DEF_SOVEREIGNS_2022,https://www.bankofcanada.ca/valet/series/DEBT_FC_BONDS_DEF_SOVEREIGNS_2022
9404,DEBT_PRIVATE_CREDITORS_DEF_SOVEREIGNS_2022,PRIVATE_CREDITORS_DEF_SOVEREIGNS_2022,PRIVATE_CREDITORS_DEF_SOVEREIGNS_2022,https://www.bankofcanada.ca/valet/series/DEBT_PRIVATE_CREDITORS_DEF_SOVEREIGNS_2022
